Audio,IPA,Cyrillic,Romanization,Morphemes,Gloss,Translation (EN),Translation (RU),Notes
1,bi mis yzuβ,Би мис үзүв.,Bi mis üzuv.,bi mis üz-u-v,1SG.NOM cat see-PST-1SG,I saw a cat.,,Comment: in general
2,bi mis yzuβ,Би мис үзүв.,Bi mis üzuv.,bi mis üz-u-v,1SG.NOM cat see-PST-1SG,I saw a cat.,,Comment: in general
3,bi mis yzlæβ,Би мис үзләв.,Bi mis üzläv.,bi mis üz-lä-v,1SG.NOM cat see-PST-1SG,I saw a cat.,,Comment: sounds like a particular cat
4,bi mis yzlæβ,Би мис үзләв.,Bi mis üzläv.,bi mis üz-lä-v,1SG.NOM cat see-PST-1SG,I saw a cat.,,Comment: sounds like a particular cat
5,bi dala mis yzuβ,Би дала мис үзүв.,Bi dala mis üzuv.,bi dala mis üz-u-v,1SG.NOM many cat see-PST-1SG,I saw many cats.,,Speaker: Ghilyana
6,bi olon mis yzlæβ,Би олн мис үзләв.,Bi oln mis üzläv.,bi oln mis üzl-ä-v,1SG.NOM many cat see-PST-1SG,I saw many cats.,,
7,bi olon mis yzuβ,Би олн мис үзүв.,Bi oln mis üzuv.,bi oln mis üz-u-v,1SG.NOM many cat see-PST-1SG,I saw many cats.,,
8,t͡ʃi mis yzlæt͡ʃ,Чи мис үзләч.,Či mis üzläč.,či mis üz-lä-č,2SG.NOM cat see-PST-2SG,You saw a cat.,,
9,t͡ʃi mis yzut͡ʃ,Чи мис үзүч.,Či mis üzuč.,či mis üz-u-č,2SG.NOM cat see-PST-2SG,You saw a cat.,,
10,t͡ʃi mis yzlæt͡ʃ,Чи мис үзләч.,Či mis üzläč.,či mis üz-lä-č,2SG.NOM cat see-PST-2SG,You saw a cat.,,
11,t͡ʃi miːsmət yzut͡ʃ,Чи миисмүд үзүч.,Či miismüt üzuč.,či miis-mət üz-u-č,2SG.NOM cat-PL see-PST-2SG,You saw cats.,,
12,mis yzlæβ,Мис үзләв.,Mis üzläv.,mis üz-lä-v,cat see-PST-1SG,I saw a cat.,,
13,mis yzuβ,Мис үзүв.,Mis üzuv.,mis üz-u-v,cat see-PST-1SG,I saw a cat.,,
14,mini mis yzlæt͡ʃ,Мини мис үзләч.,Mini mis üzläč.,mini mis üz-lä-č,1SG.GEN cat see-PST-2SG,,,Check for translation
15,mis yzlæt͡ʃ,Мис үзләч.,Mis üzläč.,mis üz-lä-č,cat see-PST-2SG,,,Check for translation
16,tær mis yzlæ,Тер мис үзлә.,Ter mis üzlä.,ter mis üz-lä,3SG.NOM cat see-PST,He/she saw a cat.,,Comment: Acceptable if the person being referred to is clear from context
17,tær kun mis yzlæ,Тер күн мис үзлә.,Ter kün mis üzlä.,ter kün mis üz-lä,that person cat see-PST,He/she saw a cat.,,
18,tær kun mis yzlæ,Тер күн мис үзлә.,Ter kün mis üzlä.,ter kün mis üz-lä,that person cat see-PST,He/she saw a cat.,,
19,tær mis yzlæ,Тер мис үзлә.,Ter mis üzlä.,ter mis üz-lä,3SG.NOM cat see-PST,He/she saw a cat.,,Comment: Acceptable if the person being referred to is clear from context
20,ta mis yzlæt,Та мис үзләт.,Ta mis üzlät.,ta mis üzlät,2SG.FORM.NOM cat see-PST-2SG.FORM,You (formal) saw a cat.,,
21,ta mis yzut,Та мис үзүт?,Ta mis üzut.,ta mis üzut,2SG.FORM.NOM cat see-PST-2SG.FORM,Have you (formal) seen a cat?,,With rising intonation
22,ta mis yzʒanat,,Ta mis üzžanat.,ta mis üz-ža-na-t,2SG.FORM.NOM cat see-PST-2SG.FORM,,,Check for translation
23,ta mis yzut,Та мис үзүt.,Ta mis üzut.,ta mis üzut,2SG.FORM.NOM cat see-PST-2SG.FORM,You (formal) saw a cat.,,With neutral intonation
24,tadən mis yzlæt,,,,,,,Check for translation
25,odən bolo yzut,,,,,,,Check for translation
26,odən bolo yzlæt,,,,,,,Check for translation
27,bi odə yzlæβ,Би од үзләв.,Bi od üzläv.,bi od üz-lä-v,1SG.NOM star see-PST-1SG,I saw a star.,,
28,odə yzʒanaβ,,,,,,,Check for translation
29,ajuka mini mis yzlæ,Аюка мини мис үзлә.,Ayuka mini mis üzlä.,Ayuka mini mis üz-lä,Ayuka.NOM 1SG.GEN cat see-PST,Ayuka saw my cat.,,
30,bi ajukan mis yzlæβ,Би Аюкан мис үзләв.,Bi Ayukan mis üzläv.,bi Ayuka-n mis üz-lä-v,1SG.NOM Ayuka-GEN cat see-PST-1SG,I saw Ayuka's cat.,,
31,ajukan mis yzlæβ,Аюкан мис үзләв.,Ayukan mis üzläv.,Ayuka-n mis üz-lä-v,Ayuka-GEN cat see-PST-1SG,I saw Ayuka's cat.,,
32,bi miːsæn yzlæβ,Би миисән үзләв.,Bi miisän üzläv.,bi miis-än üz-lä-v,1SG.NOM cat-RP see-PST-1SG,I saw my cat.,,
33,miːsæn yzlæβ,Миисән үзләв.,Miisän üzläv.,miis-än üz-lä-v,cat-RP see-PST-1SG,I saw my cat.,,
34,??bi mini mis yzlæβ,Би мини мис үзләв.,Bi mini mis üzläv.,bi mini mis üz-lä-v,1SG.NOM 1SG.GEN cat see-PST-1SG,Intended: I saw my cat.,,Comment: Not a typical sentence that a Kalmyk native speaker would say. Preferred construction: [bi miːsæn yzlæβ]
35,t͡ʃi mini mis mini mis yzut͡ʃ,Чи мини мис мини мис үзүч,Či mini mis mini mis üzuč,či mini mis mini mis üz-u-č,2SG.NOM 1SG.GEN cat 1SG.GEN cat see-PST-2SG,,,Check for translation. Contains repetition.
36,tyːnæ mis yzlæβ,Түүнә  мис үзләв.,Tüünä mis üzläv.,tüünä mis  üz-lä-v,3SG.GEN cat see-PST-1SG,I saw his cat.,,
37,bi tyːnæ mis yzlæβ,Би түүнә мис үзләв.,Bi tüünä mis üzläv.,bi tüünä mis üz-lä-v,1SG.NOM 3SG.GEN cat see-PST-1SG,I saw his cat.,,
38,ajuka tyːnæ mis yzlæ,Аюка түүнә мис үзлә.,Ayuka tüünä mis üzlä.,Ayuka tüünä mis üz-lä,Ayuka.NOM 3SG.GEN cat see-PST,Ayuka[i] saw his[j/*i] cat.,,"Comment: Cannot mean ""Ayuka saw his own cat."""
39,ajuka evræjn miːsæn yzlæ,Аюка эврәннь мисән үзлә.,Ayuka evräyn miisän üzlä.,Ayuka evräyn miis-än üz-lä,Ayuka.NOM ? cat- RP see-PST,Ayuka[i] saw his[i] cat.,,
40,ajuka evræjn miːsæn yzlæ,Аюка эврәннь мисән үзлә.,Ayuka evräyn miisän üzlä.,Ayuka evräyn miis-än üz-lä,Ayuka.NOM ? cat- RP see-PST,Ayuka[i] saw his[i] cat.,,
